ticker,name,price,date,quantity,currency,assetType,broker
BTC,Bitcoin,95056.06,2025-10-23,0.001088,EUR,Crypto,Bitstack
BTC,Bitcoin,96493.14,2025-08-27,0.001018,EUR,Crypto,Binance
BTC,Bitcoin,98552.38,2025-08-18,0.001999,EUR,Crypto,Bitstack
BTC,Bitcoin,92217.28,2025-06-27,0.001074,EUR,Crypto,Bitstack
BTC,Bitcoin,92974.99,2025-06-05,0.000522,EUR,Crypto,Bitstack
BTC,Bitcoin,92056,2025-06-01,0.000779,EUR,Crypto,Bitstack
BTC,Bitcoin,93768.79,2025-05-30,0.002112,EUR,Crypto,Bitstack
BTC,Bitcoin,94360.84,2025-05-20,0.001049,EUR,Crypto,Bitstack
BTC,Bitcoin,93093.45,2025-05-11,0.002127,EUR,Crypto,Bitstack
BTC,Bitcoin,75076.11,2025-04-13,0.002638,EUR,Crypto,Bitstack
BTC,Bitcoin,69835.02,2025-04-07,0.004253,EUR,Crypto,Bitstack
BTC,Bitcoin,79716.27,2025-03-28,0.001242,EUR,Crypto,Bitstack
BTC,Bitcoin,77700.08,2025-03-24,0.000064,EUR,Crypto,Bitstack
BTC,Bitcoin,79388.44,2025-03-23,0.000122,EUR,Crypto,Bitstack
BTC,Bitcoin,78586.9,2025-03-22,0.000314,EUR,Crypto,Bitstack
BTC,Bitcoin,76291.82,2025-03-18,0.001298,EUR,Crypto,Bitstack
BTC,Bitcoin,78095.91,2025-03-15,0.001268,EUR,Crypto,Bitstack
BTC,Bitcoin,77029.6,2025-03-14,0.001285,EUR,Crypto,Bitstack
BTC,Bitcoin,76130.5,2025-03-12,0.001301,EUR,Crypto,Bitstack
BTC,Bitcoin,76442.02,2025-03-10,0.001295,EUR,Crypto,Bitstack
BTC,Bitcoin,82982.72,2025-03-07,0.001193,EUR,Crypto,Bitstack
BTC,Bitcoin,80214.95,2025-03-04,0.000614,EUR,Crypto,Bitstack
BTC,Bitcoin,77824.82,2025-02-28,0.000633,EUR,Crypto,Bitstack
BTC,Bitcoin,80721.02,2025-02-26,0.00061,EUR,Crypto,Bitstack
BTC,Bitcoin,92181.57,2025-02-24,0.000229,EUR,Crypto,Bitstack
BTC,Bitcoin,93069.4,2025-02-13,0.000212,EUR,Crypto,Bitstack
BTC,Bitcoin,94132.26,2025-02-03,0.000209,EUR,Crypto,Bitstack
BTC,Bitcoin,96358.63,2025-01-05,0.000269,EUR,Crypto,Bitstack
BTC,Bitcoin,94484.87,2025-01-02,0.000095,EUR,Crypto,Bitstack
BTC,Bitcoin,90316.4,2024-12-29,0.000052,EUR,Crypto,Bitstack
BTC,Bitcoin,89534,2024-12-29,0.000002,EUR,Crypto,Bitstack
BTC,Bitcoin,92837.35,2024-12-26,0.000094,EUR,Crypto,Bitstack
BTC,Bitcoin,92046.12,2024-12-22,0.000051,EUR,Crypto,Bitstack
BTC,Bitcoin,99240.57,2024-12-19,0.000078,EUR,Crypto,Bitstack
BTC,Bitcoin,98069,2024-12-16,0.000001,EUR,Crypto,Bitstack
BTC,Bitcoin,99233.98,2024-12-15,0.000098,EUR,Crypto,Bitstack
BTC,Bitcoin,96409.63,2024-12-12,0.00008,EUR,Crypto,Bitstack
GXG,Nanoco Group,0.117,2025-10-07,300,EUR,Stock,TR-CT
M4I,MasterCard,508.9,2025-08-25,0.3616,EUR,Stock,TR-CT
APC,Apple,181.92,2025-07-22,0.3734,EUR,Stock,TR-CT
GOLD-ETFP,Amundi Gold,115.61,2025-07-21,3,EUR,ETF,TR-CT
GXG,Nanoco Group,0.142,2025-07-04,700,EUR,Stock,TR-CT
ABEA,Alphabet,151.16,2025-06-16,0.3308,EUR,Stock,TR-CT
9D5,Aduro Clean Technologies,7.95,2025-06-17,25,EUR,Stock,TR-CT
3ZU0,AST SpaceMobile,20,2025-06-02,3,EUR,Stock,TR-CT
3ZU0,AST SpaceMobile,22,2025-05-21,5,EUR,Stock,TR-CT
AMZ,Amazon,184.02,2025-05-16,0.2717,EUR,Stock,TR-CT
CSPX,iShares S&P 500,510.02,2025-04-23,0.1961,EUR,ETF,TR-CT
TL0,Tesla,214.8,2025-04-17,1,EUR,Stock,TR-CT
CSPX,iShares S&P 500,500.56,2025-04-16,0.1998,EUR,ETF,TR-CT
AMZ,Amazon,156.22,2025-04-15,0.3201,EUR,Stock,TR-CT
ABEA,Alphabet,135.06,2025-04-16,0.3701,EUR,Stock,TR-CT
TKE,Take-Two,190.1,2025-04-15,1.0521,EUR,Stock,TR-CT
CSPX,iShares S&P 500,507.24,2025-04-14,0.5913,EUR,ETF,TR-CT
CNDX,iShares NASDAQ 100,955.4,2025-04-14,0.3139,EUR,ETF,TR-CT
CSPX,iShares S&P 500,527.62,2025-04-03,0.1898,EUR,ETF,TR-CT
APC,Apple,179.42,2025-04-10,0.557,EUR,Stock,TR-CT
AP2,Applied Materials,135.18,2025-04-02,0.7398,EUR,Stock,TR-CT
NVD,Nvidia,103.6,2025-04-10,0.9651,EUR,Stock,TR-CT
CSPX,iShares S&P 500,480.91,2025-04-09,0.0416,EUR,ETF,TR-CT
AMZ,Amazon,155.4,2025-04-08,0.9653,EUR,Stock,TR-CT
APC,Apple,156.6,2025-04-09,0.1277,EUR,Stock,TR-CT
1170,Arista Network,70.34,2025-04-09,1.0636,EUR,Stock,TR-CT
ABEA,Alphabet,130.64,2025-04-08,1.1481,EUR,Stock,TR-CT
CSPX,iShares S&P 500,499.71,2025-04-08,0.2001,EUR,ETF,TR-CT
CNDX,iShares NASDAQ 100,925.8,2025-04-08,0.108,EUR,ETF,TR-CT
CNDX,iShares NASDAQ 100,986.6,2025-04-03,0.2534,EUR,ETF,TR-CT
CSPX,iShares S&P 500,551.08,2025-04-02,0.4537,EUR,ETF,TR-CT
CSPX,iShares S&P 500,550.74,2025-04-02,0.0363,EUR,ETF,TR-CT
APC,Apple,206.5,2025-04-02,0.0969,EUR,Stock,TR-CT
CNDX,iShares NASDAQ 100,1023.6,2025-04-02,0.2442,EUR,ETF,TR-CT
CNDX,iShares NASDAQ 100,1047,2025-03-28,0.191,EUR,ETF,TR-CT
CNDX,iShares NASDAQ 100,1076.4,2025-03-26,0.4647,EUR,ETF,TR-CT
CSPX,iShares S&P 500,566.56,2025-03-24,0.0353,EUR,ETF,TR-CT
MSF,Microsoft,364.05,2025-03-24,0.0017,EUR,Stock,TR-CT
MSF,Microsoft,364.05,2025-03-24,0.0549,EUR,Stock,TR-CT
1170,Arista Network,80.3,2025-03-24,0.2491,EUR,Stock,TR-CT
MSF,Microsoft,359.1,2025-03-20,0.2786,EUR,Stock,TR-CT
CSPX,iShares S&P 500,550.86,2025-03-17,0.0363,EUR,ETF,TR-CT
MSF,Microsoft,353.5,2025-03-17,0.0566,EUR,Stock,TR-CT
MSF,Microsoft,353.75,2025-03-17,0.013,EUR,Stock,TR-CT
1170,Arista Network,77.73,2025-03-17,0.2573,EUR,Stock,TR-CT
M4I,MasterCard,480,2025-03-14,0.2083,EUR,Stock,TR-CT
APC,Apple,195.02,2025-03-14,0.5128,EUR,Stock,TR-CT
1170,Arista Network,75.01,2025-03-14,2,EUR,Stock,TR-CT
NVD,Nvidia,109.14,2025-03-14,1,EUR,Stock,TR-CT
CSPX,iShares S&P 500,546.32,2025-03-12,0.9154,EUR,ETF,TR-CT
AP2,Applied Materials,137.16,2025-03-12,0.729,EUR,Stock,TR-CT
TL0,Tesla,219.5,2025-03-12,1,EUR,Stock,TR-CT
CSPX,iShares S&P 500,554.02,2025-03-10,0.0361,EUR,ETF,TR-CT
MSF,Microsoft,352.05,2025-03-10,0.0891,EUR,Stock,TR-CT
AP2,Applied Materials,140.2,2025-03-10,0.0361,EUR,Stock,TR-CT
TL0,Tesla,221.85,2025-03-10,0.0451,EUR,Stock,TR-CT
CSPX,iShares S&P 500,602.12,2025-03-03,0.0332,EUR,ETF,TR-CT
MSF,Microsoft,376.15,2025-03-03,0.0532,EUR,Stock,TR-CT
AP2,Applied Materials,149.2,2025-03-03,0.067,EUR,Stock,TR-CT
NVD,Nvidia,113.54,2025-03-03,0.0881,EUR,Stock,TR-CT
TL0,Tesla,285.25,2025-03-03,0.0351,EUR,Stock,TR-CT
CSPX,iShares S&P 500,611.7,2025-02-24,0.0327,EUR,ETF,TR-CT
CSPX,iShares S&P 500,620.24,2025-02-18,0.0322,EUR,ETF,TR-CT
NVD,Nvidia,132.92,2025-02-17,0.0752,EUR,Stock,TR-CT
CSPX,iShares S&P 500,623.3,2025-02-10,0.0329,EUR,ETF,TR-CT
CSPX,iShares S&P 500,615.13,2025-02-03,0.0325,EUR,ETF,TR-CT
NVD,Nvidia,113.76,2025-02-03,0.0262,EUR,Stock,TR-CT
NVD,Nvidia,114.12,2025-02-03,0.0877,EUR,Stock,TR-CT
NVD,Nvidia,121.52,2025-01-28,0.4281,EUR,Stock,TR-CT
CSPX,iShares S&P 500,620.34,2025-01-23,0.0322,EUR,ETF,TR-CT
CSPX,iShares S&P 500,614,2025-01-16,0.0326,EUR,ETF,TR-CT
AP2,Applied Materials,180.52,2025-01-16,0.0064,EUR,Stock,TR-CT
AP2,Applied Materials,180.52,2025-01-16,0.0554,EUR,Stock,TR-CT
AP2,Applied Materials,171.98,2025-01-09,0.004,EUR,Stock,TR-CT
CSPX,iShares S&P 500,610.36,2025-01-02,0.0328,EUR,ETF,TR-CT
AP2,Applied Materials,161.08,2025-01-02,0.0027,EUR,Stock,TR-CT
AP2,Applied Materials,161.08,2025-01-02,0.0037,EUR,Stock,TR-CT
AP2,Applied Materials,161.08,2025-01-02,0.0621,EUR,Stock,TR-CT
AP2,Applied Materials,159.12,2024-12-23,0.006,EUR,Stock,TR-CT
CSPX,iShares S&P 500,614.06,2024-12-16,0.0001,EUR,ETF,TR-CT
CSPX,iShares S&P 500,614.06,2024-12-16,0.0326,EUR,ETF,TR-CT
AP2,Applied Materials,162.66,2024-12-16,0.0617,EUR,Stock,TR-CT
TL0,Tesla,424.9,2024-12-16,0.0235,EUR,Stock,TR-CT
AP2,Applied Materials,166.82,2024-12-05,0.1558,EUR,Stock,TR-CT
CSPX,iShares S&P 500,609.92,2024-12-09,0.0012,EUR,ETF,TR-CT
CSPX,iShares S&P 500,609.92,2024-12-09,0.0328,EUR,ETF,TR-CT
TL0,Tesla,371.75,2024-12-09,0.0269,EUR,Stock,TR-CT
TL0,Tesla,340.95,2024-12-02,0.0292,EUR,Stock,TR-CT
APC,Apple,222.1,2024-11-27,0.0446,EUR,Stock,TR-CT
TL0,Tesla,328.15,2024-11-18,0.0303,EUR,Stock,TR-CT
CSPX,iShares S&P 500,597.96,2024-11-11,0.0335,EUR,ETF,TR-CT
CSPX,iShares S&P 500,597.92,2024-11-11,0.0021,EUR,ETF,TR-CT
TL0,Tesla,321.6,2024-11-11,0.0311,EUR,Stock,TR-CT
CSPX,iShares S&P 500,556.48,2024-11-04,0.0102,EUR,ETF,TR-CT
TL0,Tesla,225.6,2024-11-04,0.0363,EUR,Stock,TR-CT
CSPX,iShares S&P 500,572.42,2024-10-23,0.0044,EUR,ETF,TR-CT
CSPX,iShares S&P 500,572.48,2024-10-23,0.0349,EUR,ETF,TR-CT
TL0,Tesla,200.45,2024-10-23,0.0499,EUR,Stock,TR-CT
CSPX,iShares S&P 500,564.94,2024-10-16,0.0351,EUR,ETF,TR-CT
CSPX,iShares S&P 500,564.94,2024-10-16,0.0028,EUR,ETF,TR-CT
TL0,Tesla,203.4,2024-10-16,0.0491,EUR,Stock,TR-CT
CSPX,iShares S&P 500,555.6,2024-10-09,0.004,EUR,ETF,TR-CT
CSPX,iShares S&P 500,555.62,2024-10-09,0.036,EUR,ETF,TR-CT
TL0,Tesla,225.65,2024-10-09,0.0443,EUR,Stock,TR-CT
CSPX,iShares S&P 500,544.66,2024-10-02,0.0367,EUR,ETF,TR-CT
CSPX,iShares S&P 500,544.66,2024-10-02,0.0047,EUR,ETF,TR-CT
TL0,Tesla,220.45,2024-10-02,0.0454,EUR,Stock,TR-CT
CSPX,iShares S&P 500,543.14,2024-09-23,0.0368,EUR,ETF,TR-CT
CSPX,iShares S&P 500,543.14,2024-09-23,0.0083,EUR,ETF,TR-CT
TL0,Tesla,222.15,2024-09-23,0.045,EUR,Stock,TR-CT
CSPX,iShares S&P 500,534.04,2024-09-17,0.0367,EUR,ETF,TR-CT
CSPX,iShares S&P 500,534.04,2024-09-17,0.0092,EUR,ETF,TR-CT
TL0,Tesla,203.65,2024-09-17,0.0491,EUR,Stock,TR-CT
CSPX,iShares S&P 500,521.82,2024-09-09,0.023,EUR,ETF,TR-CT
CSPX,iShares S&P 500,521.82,2024-09-09,0.0383,EUR,ETF,TR-CT
CSPX,iShares S&P 500,539.2,2024-09-02,0.0171,EUR,ETF,TR-CT
CSPX,iShares S&P 500,539.2,2024-09-02,0.0371,EUR,ETF,TR-CT
TL0,Tesla,192.36,2024-09-02,0.0936,EUR,Stock,TR-CT
TL0,Tesla,192.44,2024-09-02,0.078,EUR,Stock,TR-CT
CSPX,iShares S&P 500,533.36,2024-08-23,0.0375,EUR,ETF,TR-CT
CSPX,iShares S&P 500,532.96,2024-08-23,0.015,EUR,ETF,TR-CT
CSPX,iShares S&P 500,531.18,2024-08-16,0.0376,EUR,ETF,TR-CT
CSPX,iShares S&P 500,531.22,2024-08-16,0.0209,EUR,ETF,TR-CT
TL0,Tesla,198.86,2024-08-16,0.0905,EUR,Stock,TR-CT
CSPX,iShares S&P 500,513.16,2024-08-09,0.039,EUR,ETF,TR-CT
CSPX,iShares S&P 500,513.16,2024-08-09,0.0169,EUR,ETF,TR-CT
M4I,MasterCard,425.5,2024-08-02,0.0353,EUR,Stock,TR-CT
CSPX,iShares S&P 500,519.82,2024-08-02,0.0129,EUR,ETF,TR-CT
CSPX,iShares S&P 500,518.86,2024-08-02,0.0385,EUR,ETF,TR-CT
CSPX,iShares S&P 500,541.98,2024-07-23,0.0369,EUR,ETF,TR-CT
CSPX,iShares S&P 500,541.98,2024-07-23,0.0127,EUR,ETF,TR-CT
M4I,MasterCard,408.75,2024-07-16,0.0245,EUR,Stock,TR-CT
CSPX,iShares S&P 500,548.4,2024-07-16,0.0365,EUR,ETF,TR-CT
CSPX,iShares S&P 500,548.42,2024-07-16,0.0317,EUR,ETF,TR-CT
CSPX,iShares S&P 500,544.34,2024-07-09,0.0235,EUR,ETF,TR-CT
CSPX,iShares S&P 500,544.34,2024-07-09,0.0367,EUR,ETF,TR-CT
M4I,MasterCard,409.2,2024-07-02,0.0244,EUR,Stock,TR-CT
CSPX,iShares S&P 500,537.7,2024-07-02,0.0188,EUR,ETF,TR-CT
CSPX,iShares S&P 500,537.7,2024-07-02,0.0372,EUR,ETF,TR-CT
CSPX,iShares S&P 500,536.5,2024-06-24,0.0167,EUR,ETF,TR-CT
CSPX,iShares S&P 500,536.5,2024-06-24,0.0373,EUR,ETF,TR-CT
CSPX,iShares S&P 500,534.18,2024-06-17,0.014,EUR,ETF,TR-CT
CSPX,iShares S&P 500,534.18,2024-06-17,0.0374,EUR,ETF,TR-CT
CSPX,iShares S&P 500,523.64,2024-06-10,0.0382,EUR,ETF,TR-CT
CSPX,iShares S&P 500,523.64,2024-06-10,0.0081,EUR,ETF,TR-CT
CSPX,iShares S&P 500,514.16,2024-06-03,0.039,EUR,ETF,TR-CT
CSPX,iShares S&P 500,514.16,2024-06-03,0.0117,EUR,ETF,TR-CT
CSPX,iShares S&P 500,515.36,2024-05-16,0.0776,EUR,ETF,TR-CT
APC,Apple,173.88,2024-05-16,0.2876,EUR,Stock,TR-CT
AL2SI,2CRSI,8.43,2025-08-28,15,EUR,Stock,BB-PEA
AL2SI,2CRSI,9.55,2025-07-21,12,EUR,Stock,BB-PEA
SU,Schneider Electric,215.5,2025-06-19,1,EUR,Stock,BB-PEA
SU,Schneider Electric,220.37,2025-05-21,2,EUR,Stock,BB-PEA
ESE,BNP Paribas Easy S&P 500,23.75,2025-04-23,20,EUR,ETF,BB-PEA
ESE,BNP Paribas Easy S&P 500,23.45,2025-04-17,20,EUR,ETF,BB-PEA
ESE,BNP Paribas Easy S&P 500,24.2,2025-04-14,50,EUR,ETF,BB-PEA
EUEA,iShares Core EURO STOXX 50,50,2025-04-10,10,EUR,ETF,BB-PEA
ESE,BNP Paribas Easy S&P 500,24.36,2025-04-03,30,EUR,ETF,BB-PEA
STEC,iShares STOXX Europe 600 Tech,5.42,2025-04-08,120,EUR,ETF,BB-PEA
EUEA,iShares Core EURO STOXX 50,47.8,2025-04-08,20,EUR,ETF,BB-PEA
ESE,BNP Paribas Easy S&P 500,23.55,2025-04-08,40,EUR,ETF,BB-PEA
ESE,BNP Paribas Easy S&P 500,26.03,2025-04-02,20,EUR,ETF,BB-PEA
EUEA,iShares Core EURO STOXX 50,54.75,2025-03-27,20,EUR,ETF,BB-PEA
EUEA,iShares Core EURO STOXX 50,55.35,2025-03-26,16,EUR,ETF,BB-PEA
EUEA,iShares Core EURO STOXX 50,55.35,2025-03-20,20,EUR,ETF,BB-PEA
ESE,BNP Paribas Easy S&P 500,26.05,2025-03-17,20,EUR,ETF,BB-PEA
ESE,BNP Paribas Easy S&P 500,25.74,2025-03-14,40,EUR,ETF,BB-PEA
STEC,iShares STOXX Europe 600 Tech,6.17,2025-03-12,130,EUR,ETF,BB-PEA
EUEA,iShares Core EURO STOXX 50,55.8,2025-03-07,20,EUR,ETF,BB-PEA
ESE,BNP Paribas Easy S&P 500,26.6,2025-03-07,40,EUR,ETF,BB-PEA
ESE,BNP Paribas Easy S&P 500,27.3,2025-03-05,4,EUR,ETF,BB-PEA
ESE,BNP Paribas Easy S&P 500,28.3,2025-02-28,4,EUR,ETF,BB-PEA
STEC,iShares STOXX Europe 600 Tech,6.63,2025-02-25,17,EUR,ETF,BB-PEA
EUEA,iShares Core EURO STOXX 50,55.5,2025-02-24,2,EUR,ETF,BB-PEA
EUEA,iShares Core EURO STOXX 50,49.99,2024-10-30,2,EUR,ETF,BB-PEA
ESE,BNP Paribas Easy S&P 500,25.25,2024-08-26,4,EUR,ETF,BB-PEA
STEC,iShares STOXX Europe 600 Tech,6,2024-08-07,17,EUR,ETF,BB-PEA
ESE,BNP Paribas Easy S&P 500,25.42,2024-07-24,4,EUR,ETF,BB-PEA
EUEA,iShares Core EURO STOXX 50,50.3,2024-07-10,2,EUR,ETF,BB-PEA
ESE,BNP Paribas Easy S&P 500,25.75,2024-06-20,4,EUR,ETF,BB-PEA
EUEA,iShares Core EURO STOXX 50,51.2,2024-06-10,2,EUR,ETF,BB-PEA
EUEA,iShares Core EURO STOXX 50,51.9,2024-05-28,2,EUR,ETF,BB-PEA
EUEA,iShares Core EURO STOXX 50,52.5,2024-05-10,2,EUR,ETF,BB-PEA
EUEA,iShares Core EURO STOXX 50,51.4,2024-04-29,2,EUR,ETF,BB-PEA
STEC,iShares STOXX Europe 600 Tech,6.4,2024-04-11,16,EUR,ETF,BB-PEA
BKSY,Blacksky,21.8,2025-10-23,5,USD,Stock,RV-CT
BKSY,Blacksky,19.22,2025-07-30,5,USD,Stock,RV-CT
M4I,Mastercard,425.5,2024-08-02,0.035252,EUR,Stock,TR-CT
CASH,Dépôt,0.68,2025-11-14,1,EUR,Cash,RV-CT
CASH,Dépôt,3.82,2025-11-14,1,EUR,Cash,TR-CT
CASH,Dépôt,12.01,2025-11-14,1,EUR,Cash,BB-PEA
BTC,Bitcoin,81366.82,2025-11-18,0.001211,EUR,Crypto,Bitstack
CASH,Dépôt,3,2025-11-23,1,EUR,Cash,RV-CT
BTC,Bitcoin,75867.38,2025-11-26,0.00129845,EUR,Crypto,Bitstack